id,person
2473,anabel montes
2473,salvini
2474,salvini
2475,salvini
2476,salvini
2477,anabel montes
2477,salvini
2478,melendi
2479,beatriz álvarez
2481,luis
2484,salvini
2485,beatriz díaz
2486,salvini
2488,salvini
2489,salvini
2490,asur
2492,castrillón
2492,iván lópez
2492,salinas
2492,zinc
2492,votabarbónpresidente
2494,salvini
2495,mikel sanz
2495,viella
2498,salvini
2502,salvini
2506,salvini
2512,gabi
2516,salvini
2519,salvini
2520,anabel montes
2520,salvini
2524,salvini
2525,salvini
2527,salvini
2530,salvini
2535,barbón
2550,begoña fernández costales
2550,diana llamazares
2551,federico
2551,mary
2553,sergio gregori
2553,salvini
2555,salvini
2563,salvini
2565,anabel montes
2565,salvini
2570,pía menéndez
2570,graíño
2574,ana catarina ferreira
2574,nuno canelas
2577,salvini
2581,tapia
2581,casariego
2581,siero
2581,cangas
2581,hunosa
2585,florentino pérez
2587,tapia
2587,casariego
2587,siero
2587,cangas
2587,hunosa
2589,barbara brix
2613,hydro
2618,paella
2618,olé
2619,salvini
2620,alejandro
2628,andecha astur
2634,faustino zapico
2636,anabel montes
2636,salvini
2641,sánchez
2643,feijoo
2644,aquel
2646,mitin
2648,salvini
2652,maría álvarez
2652,andrea fernández
2657,perdayuri
2658,santiago abascal
2659,ser
2659,cubero
2659,nolla
2659,godós
2668,florentino
2671,barbón
2677,alonso
2678,pep
2679,ganabarbón
2686,pep
2688,jfkennedy
2689,guardiola
2691,guardiola
2691,messi
2691,bernabeu
2694,diego canga
2696,modric
2696,benzema
2696,ancelotti
2699,anabel montes
2704,casona asturiana
2712,franco
2716,josé moro
2719,beatriz rico
2721,laura ruiz gonzález
2725,pep
2725,messi
2725,guardiola
2725,pep
2726,salvini
2732,joaquín santiago
2733,maría blanco
2747,salvini
2755,guardiola
2763,proaza
2780,votabarbónpresidente
2782,alicia gonzález
2782,chiara consonni
2782,valgonen
2788,noelia garcía rodríguez
2789,juan cofiño
2807,adrianes de llaviana
2811,silvia quesada
2812,lana del rey
2814,ajedrez
2818,lópez
2818,silvia quesada
2829,mala saña
2833,esther garcía
2840,llanes
2840,adamo
2841,votabarbónpresidente
2843,feijoo
2844,feijoo
2845,feijoo
2850,maría josé menéndez arias
2855,kimmich
2855,auba
2865,xixón
2867,eugenia rico
2869,barbón
2872,alejandrolopez
2873,adrián
2895,ariel
2895,a asturia
2895,a tavar
2895,s facun
2895,  ayu
2898,asturiana ayuso
2900,tavares
2900,ayuso
2902,barbón
2909,rocío díaz
2917,pepe
2917,casquero
2917,valverde
2917,baena
2917,vinicius
2930,gurabo
2932,juanma castaño
2935,ferdinand
2936,madrid
2939,vinicius
2940,florentino
2944,diego costa
2945,vinicius
2945,martin luther king
2946,vinicius
2946,dani alves
2946,alves
2949,celta
2949,elche
2949,vinicius
2950,vinicius
2950,mestalla
2951,vinicius
2953,vinicius
2954,vini
2955,vinicius
2955,dani alves
2959,florentino
2959,neymar
2961,vinicius
2962,ancelotti
2963,ancelotti
2963,mestalla
2963,vinicius
2964,floren
2964,vinicius
2966,ricardo de burgos bengoetxea
2969,ricardo de burgos bengoetxea
2971,zapico
2971,zapico
2975,mentirotti
2991,lina morgan
2991,beethoven
2991,georgie dann
2995,adrián barbón
2996,zorionak
2996,ramos
2996,hernández
2997,salvini
3001,ancelotti
3001,guardiola
3003,florentino
3004,mandela
3005,salvini
3007,ferdinand
3007,neymar
3007,mbappe
3007,lineker
3007,sancho
3012,florentino
3013,destajo
3016,diego lópez
3021,maribel
3023,vinicius
3026,samu
3028,guardiola
3028,florentino pérez
3029,florentino
3033,nadal
3035,viri
3039,rosa narcea
3048,lula
3049,laura marcos
3049,daniel g. granda
3053,vinicius
3057,maría josé menéndez arias
3059,barbón
3068,branu
3070,vinicius
3070,guardiola
3072,neymar
3072,dani alves
3072,messi
3073,sergi ramis
3083,gaita asturiana
3085,pablo canalís
3086,pablo canalís
3087,vinicius
3087,vinicius
3087,neymar
3087,vinicius
3097,jarpa
3100,vini
3102,mda
3102,ambeats
3102,jincho
3102,flako
3105,yá
3106,esther
3108,joselu
3108,mariano
3108,benzema
3108,joselu
3108,batistuta
3109,andrea
3110,adriana lastra
3116,emma cernuda
3123,covi
3124,laporta
